Name	Time	Comment
Nomad The Madlad	2021-10-11T00:43:57Z	Interesting perspective which explains a ton of things cause I also was thinking how god would have an angel who would disobey him or even betray him? Or the later story where even though he was kicked out he manages to enter it again through peacock? How god wouldn't see that coming? And then although I didn't have the full picture but philosophically it would only make sense if iblis was something that god himself tasked him to be the opponent of human but then the in the usual story where he also will burn in hell doesn't make sense cause he is just doing what he was told to do, and it's intresting that by concept human is like a clay, it's strength depends on what it was made or given with through time like a clay with ingredients of like respect is defrent than a clay with ingredients of hatred but both of them at the beginning were clays ready to be molded and when it dries you can't give it new things nor take them away just like when human gets old, by the way I don't know how it's not used in Arabic but in farsi سُموم is the plural of سَم which is poison,so سُموم becomes poisons and these words entered to farsi through Arabic. Man so they even copy pasted this one too huh? How many other lies...
mo osman	2021-10-10T16:42:43Z	Ok. He is now confusing us all . I am no Arab but read the entire Quran Can he explain 1: where God said he created man and jinn only to worship him 2: How did nabi Suleiman use and command them and explicitly named one of them ifrit, the strongest, In the Quran If Jinn are not other creationwith superhuman abilities as you claim sheikh please explain those verses In the Quran.
Fazlul Haque seems.	2021-10-10T14:05:37Z	Could you kindly explain Jinns under the service of Sulaiman AS (Quran 27.17 and 34.14)
Safety	2021-10-10T09:31:03Z	"What about Iblis in 15:35 ""wa-inna ʿalayka l-laʿnata ilā yawmi l-dīn""?"
Said Jongo	2021-10-09T12:06:01Z	What about the ayat in the quran talking about prophet Sulaiman and the bilqis chair
Rani Ramo	2021-10-09T10:30:52Z	Dr. Hany. Thank you for the lessons. Can you please make a content of salaat form the point of the Quran. How to perform it etc.? Personally I pray the traditional way, I do my wudu as described in Surah Al Ma’ida. While praying, I always have the feeling that something is out of the ordinary when there’s another mention than Allah. This got me thinking if the prayer that we preform is the correct way or not.
Abu Yusuf Hasan FALERO	2021-10-09T06:20:16Z	Perfectly explained ☪️💪🏽💯✊🏽🇵🇷☝️
Khamara Ahmed	2021-10-08T22:17:18Z	It's a pity circumvallating the reality yet not producing any significant sense of reality in anyway. I am not convinced
S M Ishtiak Hossain	2021-10-08T22:09:42Z	1st Question. Why would God order the Angels and Iblees to prostrate to Adam in submission except Him? Isn’t it Shirk? Aren’t we suppose to prostrate in submission to only the God? The answer lies in the translation of the word “sujud”. The word sujud does not mean physical prostrate. It means acceptance. Allah ordered everyone to accept Adam as God’s most intellegent creation. In Baqara 2:31, God taught Adam everything. And then his Intellegence was tested. Nobody knew what God asked, but Adam knew it as God taught him. So God ordered everyone to “accept” him as the most intellectual genius. Masjid is not place of prostration, it is Level of Acceptance. Masjid al haram is the basic level of acceptance when you believe in God without seeing him. Masjid al Aqsa is the furthest/highest level of acceptance when you meet God and become 100% confirm about God’s exsistence. In 17:1, Sahih International: Exalted is He who took His Servant by night from al-Masjid al-haram to al-Masjid al- Aqsa, whose surroundings We have blessed, to show him of Our signs. Indeed, He is the Hearing, the Seeing. Then in verse 17:2, its talking about giving book to Moses as a guidance. 17:2 Sahih International: And We gave Moses the Scripture and made it a guidance for the Children of Israel that you not take other than Me as Disposer of affairs. Thus verse 17:1 is not talking about prophet Mohammad, rather it talks about prophet Moses, who was given the scripture only when his level of Acceptance is upgraded from basic (masjid al haram) to the Highest (masjid al aqsa) by showing him God’s sign and by meeting him personally. This passage also proves that Sujud and Masjid are not physical prostration or place of prostration, rather its acceptance and the level of acceptance respectively.
mohd hafiz Helmi	2021-10-08T20:33:31Z	Ghofarallahulahu
joe maloney	2021-10-08T17:32:35Z	Arrogant and Bragger
waseem sharieff	2021-10-08T14:38:43Z	Dr Hany, Allah said for angels to prostrate for Adam. Iblees was not an angel and the command was for angels, then why was he questioned for not prostrating?
mohd hafiz Helmi	2021-10-08T12:29:15Z	jazakAllah khair katsiro Dr Hany and admin
Suad Ali	2021-10-08T07:03:27Z	Ibliis (LA) is not an enemy????. Did Prophet Mohammed SAW say (Scholars in front of gates of Jahannam).
Abine Hdikra	2021-10-07T05:22:08Z	Very nice presentation, Dr Hany. I need to watch this video more than once to reach a certain level of understanding that satisfies my mind. Alhamdulillah and thank you. A little typo correction, at 25:00 I think the first aya example from Diraassaat is 18:82 not 18:52
IKO Square	2021-10-06T15:08:13Z	Did Ibliss read the Scripture. Because Ibliss plans to take another method the trick us. Is this mean Ibliss has knowledge of the scripture?
Youths Of Islam	2021-10-06T10:08:29Z	"*Hello Dr. What do you think of this verse. Allah says clearly about the existence of jinns as a separate physical creation with their own society and culture. Is this also wrong translated ???* وَإِذْ صَرَفْنَآ إِلَيْكَ نَفَرًا مِّنَ ٱلْجِنِّ يَسْتَمِعُونَ ٱلْقُرْءَانَ فَلَمَّا* حَضَرُوهُ قَالُوٓا۟ أَنصِتُوا۟ۖ فَلَمَّا قُضِىَ وَلَّوْا۟ إِلَىٰ قَوْمِهِم مُّنذِرِينَ And [mention, O Muhammad], when We directed to you a few of the jinn, listening to the Quran. And when they attended it, they said, ""Listen attentively."" And when it was concluded, they went back to their people as warners. Al-Ahqaf 46:29 قَالُوا۟ يَٰقَوْمَنَآ إِنَّا سَمِعْنَا كِتَٰبًا أُنزِلَ مِنۢ بَعْدِ مُوسَىٰ مُصَدِّقًا لِّمَا بَيْنَ يَدَيْهِ يَهْدِىٓ إِلَى ٱلْحَقِّ وَإِلَىٰ طَرِيقٍ مُّسْتَقِيمٍ They said, ""O our people, indeed we have heard a [recited] Book revealed after Moses confirming what was before it which guides to the truth and to a straight path. Al-Ahqaf 46:30*"
sidjoo sin	2021-10-06T07:01:04Z	"Sheikh, blessed message ""la IIaha illa Allah"" and wicked message ""la ilaha"" - not the same. We cannot take part of sentence before ""illa"" and make conclusion out of it. ""all angels except Iblis"" could mean that Iblis is not belongs to angels, than we can say ""All Muslims except George Bush"" - it"
EBC SECURITY	2021-10-05T16:49:42Z	This channels f-history way of interpretation clearly does not make any sense since Iblees is going to heaven according to this channel.... because Iblees is simply submitting to Allah's way in Islam. If Iblees was submitting, then why would Allah accuse him of arrogance? How can a being submitting to Allah be our enemy? Allah says all good is from him and all evil is from us, so if Iblees is submitting, then this channels logic says the evil from Iblees must come from Allah. So many contradictions from this channel.
the bee's nuts	2021-10-05T00:03:25Z	Assalaam, Dr hope your well, from this understanding how would one interpret the throne of Sheeba being taken by a jinn in the story of Suleiman and that jinn being an ifrit Much appreciated
A.Q Ahmed	2021-10-04T22:17:56Z	"I was his follower and subscribed to his channel. At first, I was fascinated by his weird and unorthodox explanation of the Quran; What he calls ""Organic Interpretation"" and ""Abrhamic Locution"" But later I realized that he was doing huge blunder by interpreting the Quran by means of his illogical whims. Finally I was totally stunned when he declared that there should not be a sacrifice of animals on Eidul Adh'ha day, a clear denial of the Sunnah of our prophet (SAW). I also suspected he belongs to Shia deviant sec. I personally asked him if he applauds Shia view of Islam, he refused to answer my question. I did some background checks on this guy. He used to work with big American and European military and Secret organizations like US-DoD. It would be interesting if told us what his role was in the Defense Department. What kind of a Muslim person would work for DoD which stands foe shedding the blood of innocent Muslims every day all over the world and helping the Zionist Israel with cutting-edge weapons and billions of dollars. Don't get cheated"
Trevor Bentley	2021-10-03T09:54:01Z	Dr Hany may Allah bless you continuously and grant you the highest levels of jannah Ameen
John Seebmalek	2021-10-02T22:37:18Z	so basically Allah kept the entire ummah in darkness and even the sahabah until Dr Marvelous came to the scene. makes alot of sense.
Bagus Maulana	2021-10-02T16:20:44Z	Wow....Dr.Hany...i need some prove if jin is'nt real creature... If malaikah is real creature.. Also how yo differ the real dialog of Allah to theatrical dialog.. May Allah gives us guidance..
I Patel	2021-10-02T11:42:09Z	"Salaam Dr Hany According to Muhammad Asad in The Message of the Quran, the term Jinn has several distinct meanings: All classical philologists point out that al-jinn signifies ""intense [or ""confusing""] darkness"" and, in a more general sense, ""that which is concealed from [man' s] senses"". Creation of: Quran 15:27, 55:15, 7:12, 38:76. Nature of: 37:158, 6:100, 114:6. Organisms endowed with reason: 6:112, 7:38, 11:119, 32:13. Unseen beings as opposed to invisible beings. 46:29, 72:1. Please refer to Appendix 3 of his translations for the full script. This demonstrates that the use of this term connotes various levels /shades of meaning depending on the context. What is evident is that the Quran sheds light on one aspect of this term -the human preoccupation and fascination of ""occult powers"" or demonic forces -what we cannot physically observe with our senses, for a reason: To avoid succumbing to all paths that lead to shirk. The guiding/practical nature of the Quran points to this context probably because it was so embedded in the pre-modern world and still has implications today. We must understand this as it relates to the overall message of the Quran. What is important is not perceptions about the corporeal or the cerebral trinitarian nature of these forces, (because ultimately, Allah knows), but our unwavering commitment to seek only Allah's help."
The Revolution of Empire	2021-10-02T06:28:22Z	Can jin attack us according Quran? Reply please
×*NeaonLeona*×	2021-10-01T19:35:12Z	The jinn not being an entity unlike us human?? Dr hany cant be 100% correct. The previous generation could not be 100% wrong.
Khulut Parveen	2021-10-01T16:44:38Z	I watched this video twice. Plus did 10 sec. Backward over and over again to get the concept thoroughly and more clear. This analysis explained is really enjoyable and it liberates us from the fear we have been living until now. It was so much to the extent that I literally feel creepy going up on the roof at late night and standing near my plants. I belive your interpretation but my mother still believes jinn to be a creepy invisible creature that can do massive tasks in a sec. (Sort of like magic) and she narrated out so many incidents. Though see believe In all of your previous interpretation.
ahmad zahidi Ismail	2021-10-01T09:23:24Z	more reason for me to believe that being a good servant of Allah it’s not about being over particular about performing the conventional salat, fasting, hajj, zakat, and the like.
Philotheos	2021-10-01T01:53:10Z	"This has me reflecting upon the nature of demonic possessions... are they purely psychological? Aren't there cases where ""possessed"" people say things outside their knowledge? A manifestation of their [cursed] subconscious that has not been dealt with? Perhaps iblees/alter ego is fully embodied when one has allowed his erroneous thoughts to freely occupy one's mind for too long. A defense mechanism? A chance to recognize one's faults and change accordingly?"
Home Eats	2021-09-30T04:15:42Z	Salamun Alaykum Dr. Hany. Thank you for imparting such brilliant knowledge about the Quran meaning and its locution. I have watched some of your videos which i find mind blowing. Would it be possible for you to please list the order of your videos so that I can follow them sequentially? May Allah expand your knowledge even further. Please reply. Jazakallah.
Jameelah A	2021-09-30T04:15:05Z	Ma sha Allah. This is very useful. Barak Allahu fikum.
SilverDesert	2021-09-29T12:26:11Z	Salam, Dr. Hany, I have recently come across this channel and I really admire your courage for challenging tradition views and doctrines. That takes a lot of course and may Allahh guide you in your path. I have updated my world views many times throughout my life. I am open to new ideas and views. I do agree with most of the stuff you say however I do not agree with the part about non existence of Jinn as separate creatures. It is unfortunate that you have not been exposed to Jinn or had any experience with any paranormal activity otherwise your views on this subject would have been different. Me, my family and friends have come across such experiences. If I had not experienced the paranormal activity then I would have accepted your views on the subject. I saw what I saw and heard what I heard personally and I cannot remove that experience. Allah knows best.
Asim Al Jabri	2021-09-28T22:47:57Z	I feel liberated! Now I can brag as a fearless man among my friends and family 😅
EHSAN ZAHEED	2021-09-28T16:37:21Z	Is he a Quranist or Hadeeth rejector
Sonar Bangla	2021-09-28T12:47:37Z	"When Allah says ""And when we said to the angels 'prostrate in submission to Adam', what does Allah refer to by 'we'?"
Talat Zia	2021-09-27T20:24:49Z	Assalaam Alaikum! Dr Hany , Then how does one explain exorcism, ruqyah , etc.
Ibrahim Muzaffar	2021-09-27T15:55:32Z	Which video to watch to know the validity of the Abrahamic locution?
Safety	2021-09-27T14:31:15Z	"Peace! Do you know if there is a english version of the ""studies of the linguistic style of the purified quran"" by prof. Muhammad Abdul Khaliq?"
Qamar Abdullah	2021-09-27T07:21:26Z	Thanks alot dr hany for you efforts and work hard for the benefits of ummah... May ALLAH rewards u ..amin
Service Pros Of America	2021-09-27T01:15:06Z	I have an idea who is the jinn. Knowledge of the Quran has come to me but I can be wrong. The jinn is produce by fire and we can not see them. And they are destroyed by the sun rays. The jinn is magnetism. The enter earth corner is a magnetic the Ginn magnetic field that goes through our bodies.
Hajar Farawla Khy	2021-09-27T00:09:01Z	Ma sha Allah! What a deep perspective! And a lot of things that happend in my life a clearer now. Juist 2 questions through..just finished the lecture haha! What is then meant with the verse that Allah created men and jinn to worship Him. And what About sihr and 3ayn that is Also mentioned in the quran. Doesn Those work with jinns ? Of is it the jinn inside you for exemple where toy sell your soul to ? Like the music industry ? Salem from the Netherlands, Amsterdam
Ibn’l Islam	2021-09-26T21:00:19Z	Yesterday and today I’ve been anxiously checking up this channel for a new segment update. It’s been a week the last segment was dropped. I hope Dr Hany is safe and in good health🙏🏻
Zubair Khan	2021-09-26T20:45:22Z	Almighty gets iblees to do what is in his disposition and then curses him. I'm confused. Can anybody explain it to me
Ahmed Roney	2021-09-26T10:02:38Z	Thanks for doing this great work. May I request you to do an episode on 5.48 brother. May Allah help you to continue your work.
Imran Sarwar	2021-09-25T19:48:43Z	Thanks Dr. Hanny For informative video ❤️🌹🌹🌹
IronWater	2021-09-25T16:16:29Z	Audhu billahi minash shaitan nir rajim. Bismillahi rahmani rahim.. As salamu alaikum @Dr Hany, It is very very interesting about everything you are explaining, my beloved Prophet and Messenger PBUH needed also to explain a lot (day and night) of questions, not only Quran (somehow he did explain, tafsir, the Quran), but surely it wa in his time (1400y ago, and what people know and understand in his time, region, world, ect), so if he personally would write the Quran (which we don't have no evidence at all) that would have much much bigger impact (in negative way) in this days, he surely knew, (was guided) what and how was the correct way to write the Quran as you are trying to explain, it is in your explanation and verses of the Quran that shows that he didn't write (each of us may have different opinions and understanding, what will be the correct answer ???) , because ALLAH would not say that they blame him to have helpers to help him write the verses and also in other verses , if you stick to your explanation (Ibrahim locution) and that ALLAH says in the Quran dont use, go or take the poets way or language, the question rises : how can you say that ALLAH teaches us the story of Iblis (and meaning of Jinn) in a metaphorical way or theatrical, how comes that ALLAH uses illustrations to teach us, would not be to him to teach us what and why are we, what is good, bad or better for his creation, or who or what the enemies are with evidence ???what is with the matter of worshipping status or idols and not taking them as intermediary??? it never ends, does that mean that we didn't prostate to our self ???!!! (somehow there is no sense or its me who thinks to much, suffering from a tsunami?... Someone said : if you torture the text it will say that what you want to say ), the explanation you give somehow doesn't feet to the presented methodology. As we read and know that the poets always use the metaphoric language, because a book without that language will not have the desired impact or make any sense, how would you explain today's Dantes inferno or Injl, Torah? (and we know that the israelites claim that Musa AS wrote the Torah with his own hands) of course and for sure Quran is not man-made or poets literature or language (as ALLAH tells and shows us in Quran that those books are man-made and full of errors and contradictions ) , because how would the Quran be for all times and how would Sharia will be applied today, when a case is brought that we don't find nowhere in the history, in stories or elsewhere?! I think and it's my opinion (I could be totally wrong) that is injustice to prescribe something like that, my opinion is that there is something more, it may be that we need to stick something together or separate, I saw in your video that you cut a vese i thre pieces and put the middle of transition in the end of the translated verse, grammar is also needed (but you can't do that with the Quran) we need deeper understanding and sincere research(back to my beloved Prophet and Messenger PBUH, back to Quran), to not follow the path of the people of the book prescribed in Quran, we all know what they have done to their scripture, Alhamdulilah we still have the original, ALLAH protects Quran and says that there are signs for those who think , we have also many stories out of Quran , the scholar and Khalifa the story about claiming that Quran is the spoken word or created, the story when my beloved Prophet and Messenger PBUH chooses a man and asks him to how will he teach and apply sharia to the people if he doesn't find any explanation, ect. I'm still watching your videos, I only try to remember you of some important things in hope that you will understand what I'm trying to say , I wish I could express myself in a better way in English and I think I talked to much, this may be my last comment, ALLAH knows better our intentions. All praise, worship and everything what is in earth and heavens belongs to ALLAH, may ALLAH strengthen us and have mercy and guide us in the right path. Ameen
iraqchico	2021-09-25T10:05:55Z	You know what you just did Dr. Hany? You killed Satan 😅 The first part of the lecture is very tough and stressful, not easy to absorb. By the end and after listening to the whole, there definitely was a feel of peace, and understanding.
Jahgir Alom	2021-09-25T01:01:01Z	I have just finished watching this video a 2nd time around. Alhamdulillah, things were a lot clearer than the first time I watched it. These concepts answers questions relating to free will, accountability and the problem of evil and suffering! Alhamdulillah May Allah reward you and your team abundantly Dr Hany. May Allah help us all with understanding and accepting these critical concepts and allow the spreading of this knowledge to all the Ummah. Truly to Allah belong the command and to Him is our return and truly He is full of Mercy to ALL His creation. And indeed His creatures are numerous beyond anything we could ever count just as His favours to us are more numerous than what we could account for. Ameen
M Barron	2021-09-24T19:59:46Z	Dr Hany, surely the Jinn are not just figments of our imagination? Surely the sunnah and the experiences of many Muslims throughout the ages proves that the Jinn exist as separate beings/entities? They interact with us for both good and bad. I'm not convinced by your argument that the notion of the Jinn essentially comes from within us entirely
Nihad Samara	2021-09-24T12:58:31Z	(Then Satan tempted them in order to expose what was hidden of their nakedness. He said, “Your Lord has forbidden this tree to you only to prevent you from becoming angels or immortals. ) A'araf 20 ( them ) لهما so its three (thinking identities) . as per Freud's Theory the three parts are the id, ego and superego
Felicity	2021-09-24T09:15:53Z	Alhumdulillah. Alllah swt blessed you with such a good understanding and you are exposing it to His creation What could be better than this. Sir please also explain briefly in the light of this video how should we understand surah Falak and surah Nas ( 113 , 114 ) Thankyou
Changbin Seo2	2021-09-24T08:01:13Z	Dr. Hany, I want to ask you what is the meaning of مِنَ الْجِنَّةِ وَالنَّاسِ Is there any other meaning of وَالنَّاسِ beside mankind? Edit: I just realized you will explain it later. I'll patiently wait. Thank you
Changbin Seo2	2021-09-24T07:10:31Z	Thank you
Naeem Khan Khalil	2021-09-24T06:38:01Z	Correction plz at 24:14 the verse is not 18-52 its 18-82 ✔ (seems typo mistake) 👍
Melinda Arrmegeddon	2021-09-24T04:01:26Z	Selams so I wanted to clarify, iblees is a real creation but he's mission manifests from within our own inner inclinations to do evil and he uses this part of us to deter us from the correct path using those aspects you mentioned? Also, you are saying that even though he is a real creation doing a real job, he did not actually have any discussions with Allah and that is there more as an example to us rather than a actual event. JzkAllah Khayr.
Isaam Rafee	2021-09-24T00:35:12Z	Salams Dr Hani… does the Quran say anything about earth? Is it a sphere or its a flat plane with mountains.. forgive me if its a Red herring but im just curious.. salams 😀
gerald etienne	2021-09-23T21:36:21Z	Best presentation by far!!! Alhamdulillah! Now that you've helped us understand the nature and definition of Iblis, can you also help us understand the concept of malaikac/angel?
Khaled Swaleh Karama	2021-09-23T21:07:51Z	May ALLAH guide us ,..
GURMAD TV	2021-09-23T16:44:31Z	mashallah
sadia ali	2021-09-23T15:08:32Z	If and when we are able to understand Iblees and defeat him, and our connections established with Allah SWT, will our Dreams become more guided? Do dreams have a value?
marionjah2	2021-09-23T11:08:00Z	Now I understand why in ancient days people use FIRE for ILLUMINATION like Zoroastrian, Majusi n many practices / culture that involves fire and burning…even till today, fire is part of some religious events….for example cremation, bonfires, candles and even Olympic torch/flame…..Hmmm💁🏼
Nihad Samara	2021-09-23T10:47:21Z	Great work Dr. Hani , How about considering subconscious as the Qareen and Jinn as physical description also Shytan ( as animal nature of action and reactions ) and Nar as the power nature of knowledge ( waves ) , the subconscious is uncontrolled by human brain and its a source of self inspiration add to that its the center of desires of the human , it was the boss before the upgrade of Adam . when man was closer to the animal category . please look at it from this side , you may see things in a better way than I do. but still could not figure out Zouj ... who is that third Godly partner in human nature is it the rouh ( الروح ) , is it the third partner as Angelic connection . where is that physical part in human body . if it should have a place human body ?
TruthLifeFinder	2021-09-23T07:20:37Z	"Wa alaikum salam, Dr, You have done an excellent and brilliant job. May Allah bless you and adds more aids to you in all forms forever, amin. Not sure whether you have realized this or not, you have just killed the entire population of the ""birds"" in the universe with ""one stone"", metaphorically. In the Quran, Allah mentions that when the Truth is revealed at your very own eyes :- The ""100% Submitters to The Creator"" remain in the Truth path while the ""Rejectors"" remain in the unpleasant path toward unpleasant dwellings. This is one of the sign that the ""END TIME"" is just round the corner. So reflect, whether you are a Muslim or not, before the ""DOOR"" is completely closed for repentance. This is not a game. it is a matter of survival in the life after ""DEAD"". ""The TRUTH remains the TRUTH"". We can argue in many ways, We can counter-argue until we are ""BLUE IN THE FACE"". The TRUTH remains the TRUTH (period). May Allah continuously bless all of us forever, as the last ummah, in the TRUTH PATH and end up in the ""MOST UN-IMAGINABLE PLEASANT DWELLINGS"". Wassalam."
sadia ali	2021-09-23T06:13:22Z	Assalamunalicum Dr Hanny, this concept is so like Chines Yin/Yan. that says each person has good and evil within and there is a constant fight between the two, when the evil wins a fiery dragon comes out! Chines is an oldest civilization, makes me wonder, this, may be taught to them by a prophet. and is preserved in the chines myths. Thank you so much for the explanation. I got so scared of myself, I don't want to loose to my lesser self.
InsafDiri	2021-09-23T05:03:48Z	So beautiful.... Thank you... I pray Allah provide Dr Hany and his team with good health and protect them from Iblees always. Aameen... ❤😘❤😘❤😘
Burhan Long	2021-09-23T02:35:15Z	I hope in future segments, Dr Hany will share with us the nuanced differences between 4:1 and 7:189 and 39:6. Regards
Taurini Gem	2021-09-22T22:05:27Z	I am surprised Dr Hany what a deep and good analysis we all went through may God bless you with more knowledge health and life so that you may present us more knowledge.
sharazi sha	2021-09-22T21:49:23Z	How do you explain the story of Sulaiman A.S In the Quran, it says something like, It wasn’t Sulaiman who disbelieved but it was the Jin or shayteen They thought people magic. Also, the part where it talks about, how Sulaiman passed away and the Jin didn’t know that he was dead. Until they saw the ants eating away at his wooden stick.
Nafisa Yasin	2021-09-22T20:44:29Z	Amazingly put. I had this concept for a long time but you have detailed it perfectly that resonates. Thankyou Dr Hany. Alhumdullilah for all knowledge that leads to the truth.
Islam The Best Religion	2021-09-22T20:13:35Z	I saw it with few people having possessed of something which have more power, suddenly speaking in different manner, demanding,and damaging thier organs and tissues and if a perfume applied on them suddenly they came out and speak with different tone and volume. Especially with woman at maghrib time they got the possession and its very famous in india that dont go on terrist or outdoor unveiling your head at maghrib time. So if its not jinn what it is? Is it iblees who can overcome on someone?or is it possible that one iblees of different human want or can entered to different body like rooh travels and sleep is half death without rooh? What about the aayat of surah yasin the jinn and the ins? And if jinn is not a creature then is iblees is a single different creature? In a hadith i read about yazuz and mazuz, bani adam and bani iblees. I understood that iblees got a task and he want every human to be like him he can enter into blood and in our mind he want us to ride in darkness means misguidance and to take us away from the light mean pure guidance and understanding the correct methodology of quran. Plz explain i cannot fix it because of lots of stuff i have watched with my own eyes with my own relatives and there are lots of aayat and hadith which talk about jinn and iblees and shaitan, shayateen.
Sabah Kapadia	2021-09-22T17:55:33Z	Asalāmu’alaikim Sir, After hearing and understanding of this segment. I am in a shock , it feels like we have been hypnotised to a total different path of understanding of the Quran for centuries. We have been blindfolded and made to falsely understand about Adam, Eve , Iblees and Jinn’s etc. Sir, what is the truth behind the story of the magic performed on our beloved prophet Mohammed by the Jews . Now my conscious is not allowing me to believe any story narrated in the name of the Quran or all our prophets. I need your guidance for five times salah. May Almighty Allah bless you and keep you in good health . Sincere Thanks 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻 Waiting anxiously for the QURAN in English …………..
Anon Amos	2021-09-22T13:17:08Z	Salam Alikum brother, your new format is so much better, by adding the text rather than just saying these things as before hand in the past. It really does add to give strength to your claim that previous false interpretations need to be corrected and this is why you are repeating it over and over, I take back what was about your long winded introductions, said by me before I now see this is needed to tell those watching, it's time to throw away those traditional miss-interpretations.
AATIF KHAN	2021-09-22T12:11:57Z	"How many of you smile when Dr Hany says ""hmmmmm makes senses now"" this is what, this is what it is.. and clears our misconceptions just by the sigh.. i do always smile.. thank you Dr Hany.. may allah always keep you blessed and in good health.. jazak allah.."
Jahgir Alom	2021-09-22T09:11:55Z	"The Koran cries out even to the last day, ""O people, given up as a prey to ignorance, If ye have imagined me to be only empty fables, Ye have sown the seed of reviling and infidelity. Ye yourselves who abuse me will see yourselves Annihilated, and made like a tale that is told!"" Rumi - The Masnavi"
Mo Qa	2021-09-22T05:16:44Z	Dr hani can you please give a list of good tafsir books? thanks and regards!
Mo Qa	2021-09-22T05:14:08Z	any good tafsir books on holy Qur'an?
Batool	2021-09-22T03:25:15Z	Doctor can you speak on what a muslim woman should look like? Regarding the hijab. & can you please discuss what the law is on tattoos from the Quran ? Your videos are amazing thank you so much.
Mohomad Sheriffdeen	2021-09-22T00:17:42Z	We were discussing the things among my friends, I have 2 question for clarification. 1. Surah Al-Imraan:59 Isa and Adam parable 2. Considering overall with Schemas and Shaytan altering schemas, and now Iblis as Duo please explain it more. Thanks and your work is much appreciated.
joemman عبد الجبار	2021-09-21T22:15:57Z	djazakallah gair
Mohammad Sabir	2021-09-21T20:59:16Z	For me your work is super marvelous and outstanding but I also want the critics comments. May Allah bless you and give you very long life so that the mankind can be benefited.
Fahim Lafir	2021-09-21T20:46:03Z	"Assalaamu alaikum wa rahmatullaahi wa barakatahu. The greater challenge for me was to completely view the whole video - it took me almost seven attempts. Yes we were warned by you of the possible distractions and it happened. Anyway the reverberations will take time to sink in and Bi Iznillaah the full picture will be clearer ( plenty of unlearning to do to clear the old ""files"" in the head. Allaahumma Ihdeena wa Saddidnaa alas SIRAATHAL MUSTAQEEM. Barakallaahufeekuma"
Neehal Yazid	2021-09-21T19:39:08Z	Could you please clarify .. From surat Alnas اذي يوسوس في صدور الناس من الجن والناس؟ It seems here that humans are separate from jin. Also the story about the jin listening to the quran and the mosque in Saudi that is named the jin mosque? Please clarify so I can fully understand. Thank you.
Majid Siddiqui	2021-09-21T15:31:51Z	Intresting lecture, intresting interpretations. Reminiscent of the sufi master Mansur Hallaj’s encounter with iblees. Counter to your argument though I would say there is much evidence in all cultures that these creatures which are accepted as Jinn exsist, how about the hadiths that mention jinn. How about hadith that mention Jinn have tribes and animals in the same way humans do. You would have us beleive these are all lies, but they are not.
AllTruthRevealed	2021-09-21T15:11:41Z	Salam Dr Hany. Can you please clarify how there was a 'time' before the 'inception' of the Quran?
Ahamar Rifat	2021-09-21T14:27:45Z	Masyallah what a fantastic presentation - it makes so much sense. This concurs with many ideas and concepts I have reflected on over the years. I always felt deep down that the quran was misrepresented.
BOBA BORU	2021-09-21T13:05:55Z	Assalam aleykum once again. Thanks for your clarification on shajarah. Kindly shed some light on 20:116,117. 20:116 talks about the same iblis in surah baqara. 20:117 talks about the enemy to both Adam and his zawj. So how can we conclude here that zawj here is again ibliis. Thanks.
The_Sign10	2021-09-21T10:12:40Z	Your segments are a breath of fresh air may Allah keep blessing you and preserve you! Dr I would love a future segment about the Quranic salat using this methodology
Mustafa Mojadidi	2021-09-21T07:40:33Z	I am a little confused about the Iblis being fire before, if you can clarify please
gahaarau	2021-09-21T07:36:12Z	Been watching these lectures or videos. I feel the unveiling every time. It’s almost frightening for me.
ahmad sudin	2021-09-21T05:46:45Z	what about 51:56 wama khalaktul Jinna wal Insan . was that two or a single entity??
Richard Hawkings	2021-09-21T05:32:09Z	You changing the meanings and misguiding people .
Aziz Patel	2021-09-21T04:44:34Z	"Salamun Alaikum ...Thank you Dr. Hany ...Though it has changed my Approached towards Quranic words by Prior Lectures ...""Did Angels Question God in Quran 2:30 "" was the best Topic to Silent my opponents ....and this Topic too was Very Unique & Basis of Logical & Practical Thinking Regarding Self Instict & Ibleess.....Heart Truly Believes the Concepts...Eagerly Waits for schedule weekly Lectures. Allahh help you ... Request are many But Few (1)Your Translation of Quran , Lectures on (1) What Really Sallat Means 5 times daily Prayers, are we following in true sense....(2) Allahh is Light of Samavaat & Ardh in Sure Noor (2) On Ashabe Kahaf. People of the Cave. Allahh Increase Knowledge in you. Thank you So Much"
Zainuddin	2021-09-21T03:54:14Z	Assalamualaikum. I refer to surah al jinn verses 11 and 14. According to the tafsir there are some good jinns (soolihuun , muslimuun) and some are bad jinns. So how do we reconcile this with your definition of jinn ? Tq
